,0,1,2,3,4,5,6
0,19000,18000,20000,20000,23000,20000,20000
1,19000,17000,27000,20000,17000,20000,20000
2,15000,17000,26000,18000,24000,20000,20000
3,31000,17000,26000,17000,9000,20000,20000
4,31000,17000,26000,17000,0,29000,20000
5,29000,17000,26000,17000,0,29000,22000
6,28000,18000,26000,17000,0,29000,22000
7,28000,17000,27000,17000,0,29000,22000
8,31000,17000,26000,15000,0,29000,22000
9,31000,17000,18000,14000,0,38000,22000
10,31000,17000,18000,14000,0,60000,0
11,33000,15000,18000,14000,0,60000,0
12,36000,14000,16000,14000,0,60000,0
13,39000,14000,15000,12000,0,60000,0
14,39000,14000,15000,11000,0,61000,0
15,45000,14000,15000,11000,0,55000,0
16,43000,12000,15000,17000,0,53000,0
17,43000,11000,16000,17000,0,53000,0
18,46000,11000,15000,15000,0,53000,0
19,46000,11000,15000,14000,0,54000,0
20,41000,11000,15000,14000,0,59000,0
21,40000,20000,7000,14000,0,59000,0
22,40000,19000,8000,14000,0,59000,0
23,40000,19000,7000,15000,0,59000,0
24,40000,19000,7000,14000,0,60000,0
25,72168,19000,7000,14000,0,27832,0
26,71168,20000,7000,14000,0,27832,0
27,71168,19000,8000,14000,0,27832,0
28,71168,19000,7000,15000,0,27832,0
29,100668,19000,0,14000,0,6332,0
